Pavarde             Vardas              Galutinis (med.)
Pavarde6472         Vardas6472          4.6            
Pavarde6473         Vardas6473          4.2            
Pavarde6474         Vardas6474          2.6            
Pavarde6475         Vardas6475          7.4            
Pavarde6476         Vardas6476          3.2            
Pavarde6477         Vardas6477          8              
Pavarde6478         Vardas6478          3.2            
Pavarde6479         Vardas6479          7.2            
Pavarde648          Vardas648           4              
Pavarde6480         Vardas6480          8.8            
Pavarde6481         Vardas6481          2.2            
Pavarde6482         Vardas6482          7.6            
Pavarde6483         Vardas6483          3              
Pavarde6484         Vardas6484          4.4            
Pavarde6485         Vardas6485          4.4            
Pavarde6486         Vardas6486          5              
Pavarde6487         Vardas6487          2.6            
Pavarde6488         Vardas6488          8.2            
Pavarde6489         Vardas6489          6.8            
Pavarde649          Vardas649           5.4            
Pavarde6490         Vardas6490          5.2            
Pavarde6491         Vardas6491          4.4            
Pavarde6492         Vardas6492          8.2            
Pavarde6493         Vardas6493          7.2            
Pavarde6494         Vardas6494          3.2            
Pavarde6495         Vardas6495          8.8            
Pavarde6496         Vardas6496          6.8            
Pavarde6497         Vardas6497          8              
Pavarde6498         Vardas6498          8.4            
Pavarde6499         Vardas6499          1.8            
Pavarde65           Vardas65            3.8            
Pavarde650          Vardas650           7.4            
Pavarde6500         Vardas6500          6.6            
Pavarde6501         Vardas6501          5.2            
Pavarde6502         Vardas6502          5.4            
Pavarde6503         Vardas6503          3.6            
Pavarde6504         Vardas6504          5.4            
Pavarde6505         Vardas6505          5              
Pavarde6506         Vardas6506          8              
Pavarde6507         Vardas6507          6.2            
Pavarde6508         Vardas6508          7.2            
Pavarde6509         Vardas6509          8              
Pavarde651          Vardas651           8.2            
Pavarde6510         Vardas6510          3.8            
Pavarde6511         Vardas6511          8.8            
Pavarde6512         Vardas6512          3.2            
Pavarde6513         Vardas6513          4.6            
Pavarde6514         Vardas6514          4.4            
Pavarde6515         Vardas6515          5.4            
Pavarde6516         Vardas6516          4.2            
Pavarde6517         Vardas6517          4.6            
Pavarde6518         Vardas6518          6.8            
Pavarde6519         Vardas6519          3.8            
Pavarde652          Vardas652           6.2            
Pavarde6520         Vardas6520          8.4            
Pavarde6521         Vardas6521          7.6            
Pavarde6522         Vardas6522          6.2            
Pavarde6523         Vardas6523          4.4            
Pavarde6524         Vardas6524          8              
Pavarde6525         Vardas6525          8.8            
Pavarde6526         Vardas6526          2.6            
Pavarde6527         Vardas6527          4.8            
Pavarde6528         Vardas6528          9.2            
Pavarde6529         Vardas6529          2.6            
Pavarde653          Vardas653           7.2            
Pavarde6530         Vardas6530          8              
Pavarde6531         Vardas6531          7.6            
Pavarde6532         Vardas6532          6.8            
Pavarde6533         Vardas6533          5.6            
